name,longitude,latitude
Bennett-Rest,40.85495631,-73.93973207
Haven-Avenue,40.84843964,-73.94296319
Father-Duffy-Square,40.75907715,-73.98499206
Broadway-Malls,40.78864918,-73.97621188
Adam-Clayton-Powell-Jr-Malls,40.80546639,-73.95088911
Verdi-Square,40.77917172,-73.98150452
Washington-Square-Park,40.73088189,-73.99759193
J-Hood-Wright-Park,40.84648035,-73.94126363
Worth-Square,40.74271431,-73.98895434
Tony-Dapolito-Recreation-Center,40.72960406,-74.00541853
Sara-D-Roosevelt-Park,40.72171154,-73.99156575
Wards-Island-Park,40.78648151,-73.9295807
Louis-Cuvillier-Park,40.80086352,-73.93087975
Triboro-Plaza,40.80238303,-73.93218604
Playground-103-CIII,40.78708431,-73.93906586
Peter-Detmold-Park,40.75312444,-73.96402944
Sutton-Parks,40.75521334,-73.96215178
Twenty-Four-Sycamores-Park,40.75946833,-73.9586911
Andrew-Haswell-Green-Park,40.75964968,-73.95762026
Sutton-Place-Park,40.75672657,-73.96018543
East-River-Walk,40.76559552,-73.95143832
William-McCray-Playground,40.81555096,-73.93775117
James-Weldon-Johnson-Playground,40.79717358,-73.94181086
Joseph-C-Sauer-Park,40.72816072,-73.9797357
ABC-Playground,40.72179488,-73.98603418
William-F-Passannante-Ballfield,40.72857865,-74.00223381
Playground-of-the-Americas,40.7280073,-74.00274386
Captain-Jacob-Joseph-Playground,40.71359034,-73.98985676
Peretz-Square,40.72280047,-73.9875496
First-Park,40.72349427,-73.98977571
Minetta-Green,40.73032364,-74.00161101
Minetta-Playground,40.73067796,-74.00130771
West-4th-Street-Courts,40.73117689,-74.00093631
Minetta-Triangle,40.72989562,-74.00185726
Charlton-Plaza,40.7273391,-74.00351389
Bushman-Steps,40.83214169,-73.94029854
Recreation-Center-54,40.75648619,-73.96513384
Hansborough-Recreation-Center,40.81283478,-73.93933328
Little-Flower-Playground,40.7124222,-73.98818924
Bill-Bojangles-Robinson-Playground,40.82528525,-73.93729142
Harlem-Lane-Playground,40.82642635,-73.93492812
White-Playground,40.79163448,-73.9458896
Courtney-Callender-Playground,40.81003682,-73.94013739
McKenna-Square,40.8383036,-73.93908822
Robert-Moses-Playground,40.74840022,-73.96929553
Frederick-Johnson-Playground,40.8248034,-73.93553233
Fred-Samuel-Playground,40.8171601,-73.93924232
McCaffrey-Playground,40.7589944,-73.99128307
Baruch-Playground,40.71731544,-73.9768306
Harlem-Art-Park,40.80104058,-73.93881004
Peck-Slip,40.70757275,-74.00136728
Samuel-Marx-Triangle,40.80255151,-73.95276334
Petrosino-Square,40.72168478,-73.99743971
Cherry-Clinton-Playground,40.71130711,-73.98630392
McCarthy-Square,40.73521508,-74.00172523
Honey-Locust-Park,40.76011092,-73.96271063
Catherine-Slip-Malls,40.70949985,-73.99614118
Lt-Wm-Tighe-Triangle,40.86562588,-73.92831453
Vladeck-Park,40.71246643,-73.9820763
Peter-Minuit-Playground,40.79475375,-73.94723408
Samuel-N-Bennerson-2nd-Playground,40.77380178,-73.98693683
Col-Young-Playground,40.81932777,-73.93565951
Marx-Brothers-Playground,40.78431394,-73.94612203
Abe-Lebewohl-Park,40.73005223,-73.98707148
Abe-Lebewohl-Triangle,40.73007996,-73.98778124
Roosevelt-Triangle,40.8113407,-73.95442547
Father-Demo-Square,40.73020486,-74.00212304
Stanley-Isaacs-Playground,40.7834523,-73.94407681
Abraham-Lincoln-Playground,40.81223869,-73.9372499
Alfred-E-Smith-Playground,40.71066244,-73.99745628
Sidney-Hillman-Playground,40.71521259,-73.97963211
Playground-One,40.71224462,-73.99740779
Monsignor-Kett-Playground,40.86244405,-73.92101024
Booker-T-Washington-Playground,40.80092046,-73.96377353
Anibal-Aviles-Playground,40.80118366,-73.96283608
Wald-Playground,40.71972052,-73.9768907
Trygve-Lie-Plaza,40.74855551,-73.97037667
Ralph-Bunche-Park,40.74932424,-73.96975168
Dag-Hammarskjold-Plaza,40.75228489,-73.9689083
Mary-OConnor-Playground,40.74955691,-73.97078586
Tudor-Grove-Playground,40.7490543,-73.97115587
Moore-Playground,40.8093837,-73.93851013
Playground-One-Twenty-Five-CXXV,40.8104918,-73.9556413
Tanahey-Playground,40.71016212,-73.99518157
Father-Fagan-Park,40.72674921,-74.0033653
Alice-Kornegay-Triangle,40.80641752,-73.93534301
Each-One-Teach-One,40.8069298,-73.93526397
Crack-Is-Wack-Playground,40.80435431,-73.93169252
Mill-Rock-Park,40.78021653,-73.93879805
St-Nicholas-Playground-South,40.81111361,-73.94723114
St-Nicholas-Playground-North,40.81222757,-73.9466339
Mae-Grant-Playground,40.79246878,-73.94944881
Blake-Hobbs-Playground,40.78911169,-73.9439921
Cherry-Tree-Park,40.78723058,-73.94724386
Holcombe-Rucker-Park,40.82919126,-73.93609581
Howard-Bennett-Playground,40.8136479,-73.93866291
DeSalvio-Playground,40.72163821,-73.99610959
Tecumseh-Playground,40.78181199,-73.97851692
Frederick-Douglass-Playground,40.79707549,-73.96753221
Gutenberg-Playground,40.76347665,-73.99015976
Grand-Canal-Court,40.72231265,-74.00501522
Jacob-H-Schiff-Playground,40.82050359,-73.95201666
Straus-Square,40.71421095,-73.98990597
Wagner-Playground,40.79972362,-73.93489
Augustus-St-Gaudens-Playground,40.73560179,-73.98220643
Peters-Field,40.73609705,-73.98156169
Henry-M-Jackson-Playground,40.71398652,-73.98149852
Happy-Warrior-Playground,40.79542243,-73.96853287
Poor-Richards-Playground,40.79250292,-73.94264249
Damrosch-Park,40.77222889,-73.98501534
Lincoln-Center-Plaza,40.77289838,-73.98374643
Wright-Brothers-Playground,40.83168266,-73.94176756
Samuel-Seabury-Playground,40.785359,-73.95082532
Corporal-John-A-Seravalli-Playground,40.73907289,-74.00481021
Bloomingdale-Playground,40.79925223,-73.96597183
Audubon-Playground,40.84154803,-73.93813923
Nathan-Straus-Playground,40.7192021,-73.98398025
Collect-Pond-Park,40.71632334,-74.00183206
Eugene-McCabe-Field,40.80239026,-73.9416219
Sol-Bloom-Playground,40.78966145,-73.96884184
Renaissance-Playground,40.82133485,-73.94141409
Kimlau-Square,40.71341096,-73.99803532
St-James-Triangle,40.71269688,-73.99854254
Penn-South-Playground,40.74762498,-73.99869909
Bleecker-Playground,40.73641989,-74.00548291
Gustave-Hartman-Square,40.72064081,-73.98042725
James-Madison-Plaza,40.7114556,-74.00037009
Clement-Clarke-Moore-Park,40.74662882,-74.00430467
East-River-Playground,40.78935095,-73.93821877
McKinley-Playground,40.72424822,-73.98578748
Chelsea-Recreation-Center,40.74829588,-74.00222057
